PlotID,Date,Type,Latitude,Longitude
140,9/10/2015,Pellet,46.67389,-114.0245
140,9/10/2015,Forage,46.67389,-114.0245
141,8/20/2014,Biomass,46.72977,-113.76678
141,9/10/2015,Pellet,46.68808,-114.11503
141,9/10/2015,Forage,46.68808,-114.11503
142,9/11/2015,Pellet,46.79442,-113.76189
142,9/11/2015,Forage,46.79442,-113.76189
143,9/11/2015,Pellet,46.72363,-113.84372
143,9/11/2015,Forage,46.72363,-113.84372
144,8/20/2014,Biomass,46.73064,-113.76451
144,9/24/2015,Pellet,46.8339,-113.85265
144,9/24/2015,Forage,46.8339,-113.85265
145,8/20/2014,Biomass,46.72842,-113.76938
145,9/24/2015,Pellet,46.66974,-114.02115
145,9/24/2015,Forage,46.66974,-114.02115
146,7/22/2014,Biomass,46.82685,-113.92958
146,9/24/2015,Pellet,46.70864,-113.96675
146,9/24/2015,Forage,46.70864,-113.96675
147,7/16/2014,Biomass,46.82719,-113.92465
147,9/24/2015,Pellet,46.46943,-113.92126
147,9/24/2015,Forage,46.46943,-113.92126
148,7/22/2014,Biomass,46.82853,-113.93294
148,10/6/2015,Pellet,46.70978,-113.9809
148,10/6/2015,Forage,46.70978,-113.9809
149,7/22/2014,Biomass,46.82486,-113.93153
149,10/7/2015,Pellet,46.78766,-113.84646
149,10/7/2015,Forage,46.78766,-113.84646
150,7/22/2014,Biomass,46.83824,-113.92753
150,10/7/2015,Pellet,46.83694,-113.88317
150,10/7/2015,Forage,46.83694,-113.88317
151,8/18/2015,Biomass,46.60257,-113.90403
151,10/8/2015,Pellet,46.46453,-113.91847
151,10/8/2015,Forage,46.46453,-113.91847
152,10/8/2015,Pellet,46.68201,-114.07512
152,10/8/2015,Forage,46.68201,-114.07512
153,8/18/2015,Biomass,46.60326,-113.90753
154,8/18/2015,Biomass,46.60359,-113.90408
161,8/4/2014,Biomass,46.82724,-113.94535
162,8/4/2014,Biomass,46.82912,-113.94309
164,8/4/2014,Biomass,46.83067,-113.94137
165,8/4/2014,Biomass,46.82622,-113.94515
171,8/22/2014,Biomass,46.764,-113.72813
172,8/12/2014,Biomass,46.76244,-113.73286
173,8/22/2014,Biomass,46.76221,-113.72764
174,8/12/2014,Biomass,46.76221,-113.73434
175,8/22/2014,Biomass,46.75914,-113.73231
176,8/18/2015,Biomass,46.85037,-113.89031
179,8/18/2015,Biomass,46.85001,-113.89094
191,8/4/2015,Biomass,46.50952,-113.85642
192,8/4/2015,Biomass,46.51348,-113.86186
193,8/4/2015,Biomass,46.50922,-113.85912
194,8/3/2015,Biomass,46.51368,-113.85712
195,8/4/2015,Biomass,46.51026,-113.85789
206,8/26/2014,Biomass,46.76406,-113.88225
207,8/26/2014,Biomass,46.75041,-113.88361
208,8/26/2014,Biomass,46.76282,-113.88194
209,8/26/2014,Biomass,46.76299,-113.87981
210,8/26/2014,Biomass,46.75955,-113.88116
216,8/3/2015,Biomass,46.71538,-113.74931
217,8/3/2015,Biomass,46.71454,-113.74426
218,8/3/2015,Biomass,46.71438,-113.7466
220,8/3/2015,Biomass,46.71367,-113.74107
221,8/28/2015,Biomass,46.64315,-113.76135
222,8/28/2015,Biomass,46.64297,-113.76458
223,8/28/2015,Biomass,46.64416,-113.76387
224,8/28/2015,Biomass,46.64323,-113.76298
231,8/19/2015,Biomass,46.32373,-113.89344
232,8/19/2015,Biomass,46.32465,-113.88433
233,8/19/2015,Biomass,46.32622,-113.88708
234,8/19/2015,Biomass,46.3257,-113.89254
235,8/19/2015,Biomass,46.32475,-113.89033
237,8/29/2014,Biomass,46.2986,-113.8753
238,8/29/2014,Biomass,46.3009,-113.87283
239,8/29/2014,Biomass,46.29751,-113.87439
240,8/29/2014,Biomass,46.29958,-113.87552
244,7/24/2014,Biomass,46.53373,-113.84006
245,7/24/2014,Biomass,46.5352,-113.83706
246,7/24/2014,Biomass,46.53429,-113.83549
265,7/24/2014,Biomass,46.53503,-113.83635
266,7/24/2014,Biomass,46.53437,-113.83934
267,7/24/2014,Biomass,46.53641,-113.84325
268,7/29/2014,Biomass,46.53565,-113.83601
269,7/29/2014,Biomass,46.53553,-113.83736
270,8/6/2015,Biomass,46.43407,-113.88264
279,8/31/2015,Biomass,46.71571,-114.05119
280,8/31/2015,Biomass,46.71033,-114.04875
281,8/21/2015,Biomass,46.70929,-114.04823
282,8/21/2015,Biomass,46.71202,-114.05093
283,8/21/2015,Biomass,46.71463,-114.05174
284,7/16/2015,Biomass,46.67134,-114.04623
285,7/16/2015,Biomass,46.67068,-114.04744
286,8/17/2015,Biomass,46.56088,-114.09387
287,8/17/2015,Biomass,46.55975,-114.09467
288,8/17/2015,Biomass,46.56188,-114.09169
289,8/17/2015,Biomass,46.56226,-114.08987
290,8/14/2014,Biomass,46.58047,-114.06964
291,8/14/2014,Biomass,46.56311,-114.09344
292,8/14/2014,Biomass,46.58041,-114.06763
293,8/17/2015,Biomass,46.57625,-114.06801
294,8/14/2014,Biomass,46.56623,-114.08849
300,7/17/2014,Biomass,46.85456,-113.88437
301,7/17/2014,Biomass,46.85576,-113.88226
302,7/22/2014,Biomass,46.85487,-113.88049
303,7/17/2014,Biomass,46.85896,-113.8836
304,7/17/2014,Biomass,46.85752,-113.88326
305,8/4/2014,Biomass,46.81895,-114.01316
306,8/4/2014,Biomass,46.81926,-114.00811
307,8/4/2014,Biomass,46.8189,-114.00503
308,8/4/2014,Biomass,46.81803,-114.00515
309,8/4/2014,Biomass,46.81756,-114.01095
310,8/11/2014,Biomass,46.74095,-114.03402
311,8/11/2014,Biomass,46.74438,-114.03027
312,8/11/2014,Biomass,46.74489,-114.03087
313,8/11/2014,Biomass,46.73975,-114.03489
314,8/11/2014,Biomass,46.73979,-114.03214
315,8/25/2014,Biomass,46.60107,-113.93311
316,8/25/2014,Biomass,46.60118,-113.93414
318,8/25/2014,Biomass,46.60221,-113.93151
319,8/25/2014,Biomass,46.60287,-113.93461
322,6/9/2014,Phenology,46.55935,-113.93347
322,6/30/2014,Phenology,46.55931,-113.93343
322,9/4/2014,Phenology,46.55929,-113.93347
323,6/9/2014,Phenology,46.56231,-113.93115
323,6/30/2014,Phenology,46.56235,-113.93132
323,9/4/2014,Phenology,46.56236,-113.93118
325,8/12/2014,Biomass,46.73423,-114.0443
325,5/27/2014,Phenology,46.73416,-114.04424
