OBJECTID,PlotID,Date,Type,y,x,RASTERVALU
30,12,6/6/2014 0:00:00,Forage,46.706490000000002,-114.039980000000000,6
31,13,6/18/2014 0:00:00,Pellet,46.706609999999998,-114.099290000000000,6
32,13,6/18/2014 0:00:00,Forage,46.706609999999998,-114.099239999999990,6
33,14,6/18/2014 0:00:00,Pellet,46.715100000000000,-114.052210000000000,2
34,14,6/18/2014 0:00:00,Forage,46.715100000000000,-114.052210000000000,2
35,15,6/18/2014 0:00:00,Pellet,46.845869999999998,-113.875510000000010,3
36,15,6/18/2014 0:00:00,Forage,46.845869999999998,-113.875510000000010,3
37,16,7/23/2015 0:00:00,Biomass,46.466180000000001,-113.845410000000000,3
38,16,6/18/2014 0:00:00,Pellet,46.501750000000001,-113.927160000000000,3
39,16,6/18/2014 0:00:00,Forage,46.523980000000002,-113.914400000000000,2
40,17,7/23/2015 0:00:00,Biomass,46.465409999999999,-113.844669999999990,3
41,17,6/19/2014 0:00:00,Pellet,46.707250000000002,-114.039120000000000,6
42,17,6/19/2014 0:00:00,Forage,46.707250000000002,-114.039120000000000,6
43,18,7/23/2015 0:00:00,Biomass,46.465589999999999,-113.842960000000010,3
44,18,6/19/2014 0:00:00,Pellet,46.719470000000001,-113.993870000000000,3
45,18,6/19/2014 0:00:00,Forage,46.719470000000001,-113.993870000000000,3
46,19,7/23/2015 0:00:00,Biomass,46.464840000000002,-113.843999999999990,3
47,19,7/1/2014 0:00:00,Pellet,46.693030000000000,-114.102650000000000,2
48,19,7/1/2014 0:00:00,Forage,46.693030000000000,-114.102650000000000,2
49,20,7/21/2015 0:00:00,Biomass,46.751429999999999,-113.884590000000000,3
50,20,7/1/2014 0:00:00,Pellet,46.711480000000002,-114.040809999999990,6
51,20,7/1/2014 0:00:00,Forage,46.711480000000002,-114.040809999999990,6
52,21,7/21/2015 0:00:00,Biomass,46.748420000000003,-113.882610000000000,3
53,21,7/1/2014 0:00:00,Pellet,46.707349999999998,-114.050830000000000,2
