"PlotVisit","GDM"
"649.2014-08-15",42.647
"658.2015-08-27",6.02
"659.2015-08-27",10.86
"66.2014-08-19",371.408
"660.2015-08-27",13.578
"671.2014-07-16",147.258
"672.2014-07-15",76.424
"673.2014-07-15",248.702
"674.2014-07-16",428.395
"675.2014-07-15",530.072
"676.2014-07-15",666.308
"677.2014-07-15",251.726
"678.2014-07-15",52.089
"68.2014-08-22",15.462
"680.2014-07-09",71.743
"680.2014-09-04",46.169
"680.2014-09-23",98.611
"680.2015-06-01",30.581
"680.2015-06-17",56.588
"680.2015-07-02",24.869
"680.2015-08-07",70.087
"680.2015-09-09",34.237
"680.2015-09-23",33.596
"681.2014-06-23",140.402
"681.2014-07-10",202.937
"681.2014-09-04",52.522
"681.2014-09-23",151.184
"681.2015-05-28",24.433
"681.2015-06-16",87.08
"681.2015-07-03",107.569
"681.2015-08-07",32.453
"681.2015-09-09",85.683
"681.2015-09-23",125.097
"682.2015-05-20",32.431
"682.2015-06-15",47.975
"682.2015-07-02",33.706
"682.2015-07-15",50.125
"682.2015-09-09",33.935
"682.2015-09-23",50.524
"683.2015-07-15",21.872
"684.2015-07-15",38.04
"685.2015-07-15",30.698
"686.2015-05-20",29.868
"686.2015-06-15",32.917
"686.2015-07-02",53.931
"686.2015-07-15",69.719
"686.2015-09-09",40.183
"686.2015-09-23",47.106
"69.2014-08-19",222.423
"690.2015-08-25",30.762
"691.2015-08-25",38.112
"692.2015-08-25",26.163
"693.2015-08-25",26.806
"694.2015-08-25",33.879
"695.2015-08-25",101.408
"696.2015-08-25",24.543
"697.2015-08-25",17.692
"698.2015-08-25",27.682
"699.2015-08-25",57.163
"7.2014-07-17",628.178
"70.2014-08-19",50.354
"700.2014-07-28",136.522
"701.2014-07-29",120.86
"702.2014-07-29",223.208
"703.2014-07-29",33.048
"709.2014-07-30",164.596
"71.2014-07-18",68.699
"711.2014-07-30",116.442
"712.2014-07-30",151.268
"713.2014-07-29",149.882
"719.2014-07-29",65.79
"72.2014-07-16",107.023
"720.2014-07-29",146.06
"722.2014-07-29",28.903
"723.2014-07-28",117.255
"724.2015-08-12",121.096
"725.2015-08-12",44.798
"726.2015-08-12",174.052
"727.2015-08-12",121.047
"728.2015-08-12",163.615
"73.2014-07-15",175.664
"734.2014-08-27",219.497
"736.2014-08-27",198.735
